kode_adm4,provinsi,kabupaten_atau_kota,kecamatan,desa_atau_kelurahan
32.01.01.1001,Jawa Barat,Kabupaten Bogor,Cibinong,Pondok Rajeg
32.01.01.1002,Jawa Barat,Kabupaten Bogor,Cibinong,Karadenan
32.01.01.1003,Jawa Barat,Kabupaten Bogor,Cibinong,Harapanjaya
32.01.01.1004,Jawa Barat,Kabupaten Bogor,Cibinong,Nanggewer
32.01.01.1005,Jawa Barat,Kabupaten Bogor,Cibinong,Nanggewer Mekar
32.01.01.1006,Jawa Barat,Kabupaten Bogor,Cibinong,Cibinong
32.01.01.1007,Jawa Barat,Kabupaten Bogor,Cibinong,Pakansari
32.01.01.1008,Jawa Barat,Kabupaten Bogor,Cibinong,Tengah
32.01.01.1009,Jawa Barat,Kabupaten Bogor,Cibinong,Sukahati
32.01.01.1010,Jawa Barat,Kabupaten Bogor,Cibinong,Ciriung
32.01.01.1011,Jawa Barat,Kabupaten Bogor,Cibinong,Cirimekar
32.01.01.1012,Jawa Barat,Kabupaten Bogor,Cibinong,Pabuaran
32.01.01.1013,Jawa Barat,Kabupaten Bogor,Cibinong,Pabuaran Mekar
32.01.02.2001,Jawa Barat,Kabupaten Bogor,Gunungputri,Wanaherang
32.01.02.2002,Jawa Barat,Kabupaten Bogor,Gunungputri,Bojongkulur
32.01.02.2003,Jawa Barat,Kabupaten Bogor,Gunungputri,Ciangsana
32.01.02.2004,Jawa Barat,Kabupaten Bogor,Gunungputri,Gunungputri
32.01.02.2005,Jawa Barat,Kabupaten Bogor,Gunungputri,Bojongnangka
32.01.02.2006,Jawa Barat,Kabupaten Bogor,Gunungputri,Tlajung Udik
32.01.02.2007,Jawa Barat,Kabupaten Bogor,Gunungputri,Cicadas
32.01.02.2008,Jawa Barat,Kabupaten Bogor,Gunungputri,Cikeas Udik
32.01.02.2009,Jawa Barat,Kabupaten Bogor,Gunungputri,Nagrak
32.01.02.2010,Jawa Barat,Kabupaten Bogor,Gunungputri,Karanggan
32.01.03.1006,Jawa Barat,Kabupaten Bogor,Citeureup,Puspanegara
32.01.03.1007,Jawa Barat,Kabupaten Bogor,Citeureup,Karang Asem Barat
32.01.03.2001,Jawa Barat,Kabupaten Bogor,Citeureup,Puspasari
32.01.03.2002,Jawa Barat,Kabupaten Bogor,Citeureup,Citeureup
32.01.03.2003,Jawa Barat,Kabupaten Bogor,Citeureup,Leuwinutug
32.01.03.2004,Jawa Barat,Kabupaten Bogor,Citeureup,Tajur
32.01.03.2005,Jawa Barat,Kabupaten Bogor,Citeureup,Sanja
32.01.03.2008,Jawa Barat,Kabupaten Bogor,Citeureup,Karang Asem Timur
32.01.03.2009,Jawa Barat,Kabupaten Bogor,Citeureup,Tarikolot
32.01.03.2010,Jawa Barat,Kabupaten Bogor,Citeureup,Gunungsari
32.01.03.2011,Jawa Barat,Kabupaten Bogor,Citeureup,Tangkil
32.01.03.2012,Jawa Barat,Kabupaten Bogor,Citeureup,Sukahati
32.01.03.2013,Jawa Barat,Kabupaten Bogor,Citeureup,Hambalang
32.01.03.2014,Jawa Barat,Kabupaten Bogor,Citeureup,Pasir Mukti
32.01.04.2001,Jawa Barat,Kabupaten Bogor,Sukaraja,Gunung Geulis
32.01.04.2002,Jawa Barat,Kabupaten Bogor,Sukaraja,Cilebut Timur
32.01.04.2003,Jawa Barat,Kabupaten Bogor,Sukaraja,Cilebut Barat
32.01.04.2004,Jawa Barat,Kabupaten Bogor,Sukaraja,Cibanon
32.01.04.2005,Jawa Barat,Kabupaten Bogor,Sukaraja,Nagrak
32.01.04.2006,Jawa Barat,Kabupaten Bogor,Sukaraja,Sukatani
32.01.04.2007,Jawa Barat,Kabupaten Bogor,Sukaraja,Sukaraja
32.01.04.2008,Jawa Barat,Kabupaten Bogor,Sukaraja,Cikeas
32.01.04.2009,Jawa Barat,Kabupaten Bogor,Sukaraja,Pasirjambu
32.01.04.2010,Jawa Barat,Kabupaten Bogor,Sukaraja,Cimandala
32.01.04.2011,Jawa Barat,Kabupaten Bogor,Sukaraja,Cijujung
32.01.04.2012,Jawa Barat,Kabupaten Bogor,Sukaraja,Cadasngampar
32.01.04.2013,Jawa Barat,Kabupaten Bogor,Sukaraja,Pasirlaja
32.01.05.2001,Jawa Barat,Kabupaten Bogor,Babakan Madang,Cijayanti
32.01.05.2002,Jawa Barat,Kabupaten Bogor,Babakan Madang,Sumur Batu
32.01.05.2003,Jawa Barat,Kabupaten Bogor,Babakan Madang,Sentul
32.01.05.2004,Jawa Barat,Kabupaten Bogor,Babakan Madang,Karang Tengah
32.01.05.2005,Jawa Barat,Kabupaten Bogor,Babakan Madang,Cipambuan
32.01.05.2006,Jawa Barat,Kabupaten Bogor,Babakan Madang,Kadumanggu
32.01.05.2007,Jawa Barat,Kabupaten Bogor,Babakan Madang,Citaringgul
32.01.05.2008,Jawa Barat,Kabupaten Bogor,Babakan Madang,Babakan Madang
32.01.05.2009,Jawa Barat,Kabupaten Bogor,Babakan Madang,Bojong Koneng
32.01.06.2001,Jawa Barat,Kabupaten Bogor,Jonggol,Sukamaju
32.01.06.2002,Jawa Barat,Kabupaten Bogor,Jonggol,Sirnagalih
32.01.06.2003,Jawa Barat,Kabupaten Bogor,Jonggol,Singajaya
32.01.06.2004,Jawa Barat,Kabupaten Bogor,Jonggol,Sukasirna
32.01.06.2005,Jawa Barat,Kabupaten Bogor,Jonggol,Sukanegara
32.01.06.2006,Jawa Barat,Kabupaten Bogor,Jonggol,Sukamanah
32.01.06.2007,Jawa Barat,Kabupaten Bogor,Jonggol,Weninggalih
32.01.06.2008,Jawa Barat,Kabupaten Bogor,Jonggol,Cibodas
32.01.06.2009,Jawa Barat,Kabupaten Bogor,Jonggol,Jonggol
32.01.06.2010,Jawa Barat,Kabupaten Bogor,Jonggol,Bendungan
32.01.06.2011,Jawa Barat,Kabupaten Bogor,Jonggol,Singasari
32.01.06.2012,Jawa Barat,Kabupaten Bogor,Jonggol,Balekambang
32.01.06.2013,Jawa Barat,Kabupaten Bogor,Jonggol,Sukajaya
32.01.06.2014,Jawa Barat,Kabupaten Bogor,Jonggol,Sukagalih
32.01.07.2001,Jawa Barat,Kabupaten Bogor,Cileungsi,Pasirangin
32.01.07.2002,Jawa Barat,Kabupaten Bogor,Cileungsi,Mekarsari
32.01.07.2003,Jawa Barat,Kabupaten Bogor,Cileungsi,Mampir
32.01.07.2004,Jawa Barat,Kabupaten Bogor,Cileungsi,Dayeuh
32.01.07.2005,Jawa Barat,Kabupaten Bogor,Cileungsi,Gandoang
32.01.07.2006,Jawa Barat,Kabupaten Bogor,Cileungsi,Jatisari
32.01.07.2007,Jawa Barat,Kabupaten Bogor,Cileungsi,Cileungsi Kidul
32.01.07.2008,Jawa Barat,Kabupaten Bogor,Cileungsi,Cipeucang
32.01.07.2009,Jawa Barat,Kabupaten Bogor,Cileungsi,Situsari
32.01.07.2010,Jawa Barat,Kabupaten Bogor,Cileungsi,Cipenjo
32.01.07.2011,Jawa Barat,Kabupaten Bogor,Cileungsi,Limusnunggal
32.01.07.2012,Jawa Barat,Kabupaten Bogor,Cileungsi,Cileungsi
32.01.08.2001,Jawa Barat,Kabupaten Bogor,Cariu,Karyamekar
32.01.08.2002,Jawa Barat,Kabupaten Bogor,Cariu,Babakanraden
32.01.08.2003,Jawa Barat,Kabupaten Bogor,Cariu,Cikutamahi
32.01.08.2004,Jawa Barat,Kabupaten Bogor,Cariu,Kutamekar
32.01.08.2005,Jawa Barat,Kabupaten Bogor,Cariu,Cariu
32.01.08.2006,Jawa Barat,Kabupaten Bogor,Cariu,Mekarwangi
32.01.08.2007,Jawa Barat,Kabupaten Bogor,Cariu,Bantarkuning
32.01.08.2008,Jawa Barat,Kabupaten Bogor,Cariu,Sukajadi
32.01.08.2009,Jawa Barat,Kabupaten Bogor,Cariu,Tegalpanjang
32.01.08.2010,Jawa Barat,Kabupaten Bogor,Cariu,Cibatutiga
32.01.09.2001,Jawa Barat,Kabupaten Bogor,Sukamakmur,Wargajaya
32.01.09.2002,Jawa Barat,Kabupaten Bogor,Sukamakmur,Pabuaran
32.01.09.2003,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukadamai
32.01.09.2004,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukawangi
32.01.09.2005,Jawa Barat,Kabupaten Bogor,Sukamakmur,Cibadak
32.01.09.2006,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukaresmi
32.01.09.2007,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukamulya
32.01.09.2008,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukaharja
32.01.09.2009,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sirnajaya
32.01.09.2010,Jawa Barat,Kabupaten Bogor,Sukamakmur,Sukamakmur
32.01.10.2001,Jawa Barat,Kabupaten Bogor,Parung,Parung
32.01.10.2002,Jawa Barat,Kabupaten Bogor,Parung,Iwul
32.01.10.2003,Jawa Barat,Kabupaten Bogor,Parung,Bojong Sempu
32.01.10.2004,Jawa Barat,Kabupaten Bogor,Parung,Waru
32.01.10.2005,Jawa Barat,Kabupaten Bogor,Parung,Cogreg
32.01.10.2006,Jawa Barat,Kabupaten Bogor,Parung,Pamegarsari
32.01.10.2007,Jawa Barat,Kabupaten Bogor,Parung,Waru Jaya
32.01.10.2008,Jawa Barat,Kabupaten Bogor,Parung,Bojong Indah
32.01.10.2009,Jawa Barat,Kabupaten Bogor,Parung,Jabon Mekar
32.01.11.2001,Jawa Barat,Kabupaten Bogor,Gunungsindur,Cidokom
32.01.11.2002,Jawa Barat,Kabupaten Bogor,Gunungsindur,Padurenan
32.01.11.2003,Jawa Barat,Kabupaten Bogor,Gunungsindur,Pengasinan
32.01.11.2004,Jawa Barat,Kabupaten Bogor,Gunungsindur,Curug
32.01.11.2005,Jawa Barat,Kabupaten Bogor,Gunungsindur,Gunungsindur
32.01.11.2006,Jawa Barat,Kabupaten Bogor,Gunungsindur,Jampang
32.01.11.2007,Jawa Barat,Kabupaten Bogor,Gunungsindur,Cibadung
32.01.11.2008,Jawa Barat,Kabupaten Bogor,Gunungsindur,Cibinong
32.01.11.2009,Jawa Barat,Kabupaten Bogor,Gunungsindur,Rawakalong
32.01.11.2010,Jawa Barat,Kabupaten Bogor,Gunungsindur,Pabuaran
32.01.12.1006,Jawa Barat,Kabupaten Bogor,Kemang,Atang Senjaya
32.01.12.2001,Jawa Barat,Kabupaten Bogor,Kemang,Bojong
32.01.12.2002,Jawa Barat,Kabupaten Bogor,Kemang,Parakanjaya
32.01.12.2003,Jawa Barat,Kabupaten Bogor,Kemang,Kemang
32.01.12.2004,Jawa Barat,Kabupaten Bogor,Kemang,Pabuaran
32.01.12.2005,Jawa Barat,Kabupaten Bogor,Kemang,Semplak Barat
32.01.12.2007,Jawa Barat,Kabupaten Bogor,Kemang,Jampang
32.01.12.2008,Jawa Barat,Kabupaten Bogor,Kemang,Pondok Udik
32.01.12.2009,Jawa Barat,Kabupaten Bogor,Kemang,Tegal
32.01.13.1007,Jawa Barat,Kabupaten Bogor,Bojonggede,Pabuaran
32.01.13.2001,Jawa Barat,Kabupaten Bogor,Bojonggede,Bojongbaru
32.01.13.2002,Jawa Barat,Kabupaten Bogor,Bojonggede,Cimanggis
32.01.13.2003,Jawa Barat,Kabupaten Bogor,Bojonggede,Susukan
32.01.13.2004,Jawa Barat,Kabupaten Bogor,Bojonggede,Ragajaya
32.01.13.2005,Jawa Barat,Kabupaten Bogor,Bojonggede,Kedung Waringin
32.01.13.2006,Jawa Barat,Kabupaten Bogor,Bojonggede,Waringin Jaya
32.01.13.2008,Jawa Barat,Kabupaten Bogor,Bojonggede,Rawapanjang
32.01.13.2009,Jawa Barat,Kabupaten Bogor,Bojonggede,Bojonggede
32.01.14.2001,Jawa Barat,Kabupaten Bogor,Leuwiliang,Leuwiliang
32.01.14.2002,Jawa Barat,Kabupaten Bogor,Leuwiliang,Purasari
32.01.14.2003,Jawa Barat,Kabupaten Bogor,Leuwiliang,Karyasari
32.01.14.2004,Jawa Barat,Kabupaten Bogor,Leuwiliang,Pabangbon
32.01.14.2005,Jawa Barat,Kabupaten Bogor,Leuwiliang,Karacak
32.01.14.2006,Jawa Barat,Kabupaten Bogor,Leuwiliang,Barengkok
32.01.14.2007,Jawa Barat,Kabupaten Bogor,Leuwiliang,Leuwimekar
32.01.14.2008,Jawa Barat,Kabupaten Bogor,Leuwiliang,Puraseda
32.01.14.2009,Jawa Barat,Kabupaten Bogor,Leuwiliang,Cibeber I
32.01.14.2010,Jawa Barat,Kabupaten Bogor,Leuwiliang,Cibeber II
32.01.14.2011,Jawa Barat,Kabupaten Bogor,Leuwiliang,Karehkel
32.01.15.2001,Jawa Barat,Kabupaten Bogor,Ciampea,Ciampea
32.01.15.2002,Jawa Barat,Kabupaten Bogor,Ciampea,Cinangka
32.01.15.2003,Jawa Barat,Kabupaten Bogor,Ciampea,Cihideung Udik
32.01.15.2004,Jawa Barat,Kabupaten Bogor,Ciampea,Bojongjengkol
32.01.15.2005,Jawa Barat,Kabupaten Bogor,Ciampea,Tegalwaru
32.01.15.2006,Jawa Barat,Kabupaten Bogor,Ciampea,Cibuntu
32.01.15.2007,Jawa Barat,Kabupaten Bogor,Ciampea,Cicadas
32.01.15.2008,Jawa Barat,Kabupaten Bogor,Ciampea,Cibadak
32.01.15.2009,Jawa Barat,Kabupaten Bogor,Ciampea,Bojongrangkas
32.01.15.2010,Jawa Barat,Kabupaten Bogor,Ciampea,Cihideung Ilir
32.01.15.2011,Jawa Barat,Kabupaten Bogor,Ciampea,Cibanteng
32.01.15.2012,Jawa Barat,Kabupaten Bogor,Ciampea,Benteng
32.01.15.2013,Jawa Barat,Kabupaten Bogor,Ciampea,Ciampea Udik
32.01.16.2001,Jawa Barat,Kabupaten Bogor,Cibungbulang,Situ Udik
32.01.16.2002,Jawa Barat,Kabupaten Bogor,Cibungbulang,Situ Ilir
32.01.16.2003,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cemplang
32.01.16.2004,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cibatok I
32.01.16.2005,Jawa Barat,Kabupaten Bogor,Cibungbulang,Ciaruteun Udik
32.01.16.2006,Jawa Barat,Kabupaten Bogor,Cibungbulang,Leuweungkolot
32.01.16.2007,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cimanggu I
32.01.16.2008,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cimanggu II
32.01.16.2009,Jawa Barat,Kabupaten Bogor,Cibungbulang,Dukuh
32.01.16.2010,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cijujung
32.01.16.2011,Jawa Barat,Kabupaten Bogor,Cibungbulang,Ciaruteun Ilir
32.01.16.2012,Jawa Barat,Kabupaten Bogor,Cibungbulang,Cibatok II
32.01.16.2013,Jawa Barat,Kabupaten Bogor,Cibungbulang,Sukamaju
32.01.16.2014,Jawa Barat,Kabupaten Bogor,Cibungbulang,Galuga
32.01.16.2015,Jawa Barat,Kabupaten Bogor,Cibungbulang,Girimulya
32.01.17.2001,Jawa Barat,Kabupaten Bogor,Pamijahan,Purwabakti
32.01.17.2002,Jawa Barat,Kabupaten Bogor,Pamijahan,Cibunian
32.01.17.2003,Jawa Barat,Kabupaten Bogor,Pamijahan,Cibitung Wetan
32.01.17.2004,Jawa Barat,Kabupaten Bogor,Pamijahan,Gunung Menyan
32.01.17.2005,Jawa Barat,Kabupaten Bogor,Pamijahan,Gunung Bunder II
32.01.17.2006,Jawa Barat,Kabupaten Bogor,Pamijahan,Pasarean
32.01.17.2007,Jawa Barat,Kabupaten Bogor,Pamijahan,Cimayang
32.01.17.2008,Jawa Barat,Kabupaten Bogor,Pamijahan,Pamijahan
32.01.17.2009,Jawa Barat,Kabupaten Bogor,Pamijahan,Cibening
32.01.17.2010,Jawa Barat,Kabupaten Bogor,Pamijahan,Gunung Bunder I
32.01.17.2011,Jawa Barat,Kabupaten Bogor,Pamijahan,Cibitung Kulon
32.01.17.2012,Jawa Barat,Kabupaten Bogor,Pamijahan,Gunung Picung
32.01.17.2013,Jawa Barat,Kabupaten Bogor,Pamijahan,Ciasihan
32.01.17.2014,Jawa Barat,Kabupaten Bogor,Pamijahan,Gunung Sari
32.01.17.2015,Jawa Barat,Kabupaten Bogor,Pamijahan,Ciasmara
32.01.18.2001,Jawa Barat,Kabupaten Bogor,Rumpin,Rumpin
32.01.18.2002,Jawa Barat,Kabupaten Bogor,Rumpin,Leuwibatu
32.01.18.2003,Jawa Barat,Kabupaten Bogor,Rumpin,Cidokom
32.01.18.2004,Jawa Barat,Kabupaten Bogor,Rumpin,Gobang
32.01.18.2005,Jawa Barat,Kabupaten Bogor,Rumpin,Cibodas
32.01.18.2006,Jawa Barat,Kabupaten Bogor,Rumpin,Rabak
32.01.18.2007,Jawa Barat,Kabupaten Bogor,Rumpin,Kampung Sawah
32.01.18.2008,Jawa Barat,Kabupaten Bogor,Rumpin,Cipinang
32.01.18.2009,Jawa Barat,Kabupaten Bogor,Rumpin,Sukasari
32.01.18.2010,Jawa Barat,Kabupaten Bogor,Rumpin,Tamansari
32.01.18.2011,Jawa Barat,Kabupaten Bogor,Rumpin,Kertajaya
32.01.18.2012,Jawa Barat,Kabupaten Bogor,Rumpin,Sukamulya
32.01.18.2013,Jawa Barat,Kabupaten Bogor,Rumpin,Mekarsari
32.01.18.2014,Jawa Barat,Kabupaten Bogor,Rumpin,Mekarjaya
32.01.19.2001,Jawa Barat,Kabupaten Bogor,Jasinga,Curug
32.01.19.2002,Jawa Barat,Kabupaten Bogor,Jasinga,Pangradin
32.01.19.2003,Jawa Barat,Kabupaten Bogor,Jasinga,Kalongsawah
32.01.19.2004,Jawa Barat,Kabupaten Bogor,Jasinga,Sipak
32.01.19.2005,Jawa Barat,Kabupaten Bogor,Jasinga,Jasinga
32.01.19.2006,Jawa Barat,Kabupaten Bogor,Jasinga,Koleang
32.01.19.2007,Jawa Barat,Kabupaten Bogor,Jasinga,Cikopomayak
32.01.19.2008,Jawa Barat,Kabupaten Bogor,Jasinga,Setu
32.01.19.2009,Jawa Barat,Kabupaten Bogor,Jasinga,Barengkok
32.01.19.2010,Jawa Barat,Kabupaten Bogor,Jasinga,Bagoang
32.01.19.2011,Jawa Barat,Kabupaten Bogor,Jasinga,Pangaur
32.01.19.2012,Jawa Barat,Kabupaten Bogor,Jasinga,Pamagersari
32.01.19.2013,Jawa Barat,Kabupaten Bogor,Jasinga,Jugalajaya
32.01.19.2014,Jawa Barat,Kabupaten Bogor,Jasinga,Tegalwangi
32.01.19.2015,Jawa Barat,Kabupaten Bogor,Jasinga,Neglasari
32.01.19.2016,Jawa Barat,Kabupaten Bogor,Jasinga,Wirajaya
32.01.20.2001,Jawa Barat,Kabupaten Bogor,Parungpanjang,Jagabaya
32.01.20.2002,Jawa Barat,Kabupaten Bogor,Parungpanjang,Gorowong
32.01.20.2003,Jawa Barat,Kabupaten Bogor,Parungpanjang,Dago
32.01.20.2004,Jawa Barat,Kabupaten Bogor,Parungpanjang,Pingku
32.01.20.2005,Jawa Barat,Kabupaten Bogor,Parungpanjang,Cikuda
32.01.20.2006,Jawa Barat,Kabupaten Bogor,Parungpanjang,Parungpanjang
32.01.20.2007,Jawa Barat,Kabupaten Bogor,Parungpanjang,Lumpang
32.01.20.2008,Jawa Barat,Kabupaten Bogor,Parungpanjang,Cibunar
32.01.20.2009,Jawa Barat,Kabupaten Bogor,Parungpanjang,Jagabita
32.01.20.2010,Jawa Barat,Kabupaten Bogor,Parungpanjang,Gintungcilejet
32.01.20.2011,Jawa Barat,Kabupaten Bogor,Parungpanjang,Kabasiran
32.01.21.2001,Jawa Barat,Kabupaten Bogor,Nanggung,Malasari
32.01.21.2002,Jawa Barat,Kabupaten Bogor,Nanggung,Curugbitung
32.01.21.2003,Jawa Barat,Kabupaten Bogor,Nanggung,Cisarua
32.01.21.2004,Jawa Barat,Kabupaten Bogor,Nanggung,Bantarkaret
32.01.21.2005,Jawa Barat,Kabupaten Bogor,Nanggung,Hambaro
32.01.21.2006,Jawa Barat,Kabupaten Bogor,Nanggung,Kalongliud
32.01.21.2007,Jawa Barat,Kabupaten Bogor,Nanggung,Nanggung
32.01.21.2008,Jawa Barat,Kabupaten Bogor,Nanggung,Parakanmuncang
32.01.21.2009,Jawa Barat,Kabupaten Bogor,Nanggung,Pangkaljaya
32.01.21.2010,Jawa Barat,Kabupaten Bogor,Nanggung,Sukaluyu
32.01.21.2011,Jawa Barat,Kabupaten Bogor,Nanggung,Batu Tulis
32.01.22.2001,Jawa Barat,Kabupaten Bogor,Cigudeg,Sukamaju
32.01.22.2002,Jawa Barat,Kabupaten Bogor,Cigudeg,Cigudeg
32.01.22.2003,Jawa Barat,Kabupaten Bogor,Cigudeg,Bunar
32.01.22.2004,Jawa Barat,Kabupaten Bogor,Cigudeg,Banyuresmi
32.01.22.2005,Jawa Barat,Kabupaten Bogor,Cigudeg,Cintamanik
32.01.22.2006,Jawa Barat,Kabupaten Bogor,Cigudeg,Argapura
32.01.22.2007,Jawa Barat,Kabupaten Bogor,Cigudeg,Bangunjaya
32.01.22.2008,Jawa Barat,Kabupaten Bogor,Cigudeg,Rengasjajar
32.01.22.2009,Jawa Barat,Kabupaten Bogor,Cigudeg,Batujajar
32.01.22.2010,Jawa Barat,Kabupaten Bogor,Cigudeg,Wargajaya
32.01.22.2011,Jawa Barat,Kabupaten Bogor,Cigudeg,Sukaraksa
32.01.22.2012,Jawa Barat,Kabupaten Bogor,Cigudeg,Banyuwangi
32.01.22.2013,Jawa Barat,Kabupaten Bogor,Cigudeg,Banyuasih
32.01.22.2014,Jawa Barat,Kabupaten Bogor,Cigudeg,Mekarjaya
32.01.22.2015,Jawa Barat,Kabupaten Bogor,Cigudeg,Tegallega
32.01.23.2001,Jawa Barat,Kabupaten Bogor,Tenjo,Tapos
32.01.23.2002,Jawa Barat,Kabupaten Bogor,Tenjo,Ciomas
32.01.23.2003,Jawa Barat,Kabupaten Bogor,Tenjo,Batok
32.01.23.2004,Jawa Barat,Kabupaten Bogor,Tenjo,Babakan
32.01.23.2005,Jawa Barat,Kabupaten Bogor,Tenjo,Tenjo
32.01.23.2006,Jawa Barat,Kabupaten Bogor,Tenjo,Cilaku
32.01.23.2007,Jawa Barat,Kabupaten Bogor,Tenjo,Singabraja
32.01.23.2008,Jawa Barat,Kabupaten Bogor,Tenjo,Singabangsa
32.01.23.2009,Jawa Barat,Kabupaten Bogor,Tenjo,Bojong
32.01.24.2001,Jawa Barat,Kabupaten Bogor,Ciawi,Cileungsi
32.01.24.2002,Jawa Barat,Kabupaten Bogor,Ciawi,Citapen
32.01.24.2003,Jawa Barat,Kabupaten Bogor,Ciawi,Cibedug
32.01.24.2004,Jawa Barat,Kabupaten Bogor,Ciawi,Jambuluwuk
32.01.24.2005,Jawa Barat,Kabupaten Bogor,Ciawi,Banjarsari
32.01.24.2006,Jawa Barat,Kabupaten Bogor,Ciawi,Telukpinang
32.01.24.2007,Jawa Barat,Kabupaten Bogor,Ciawi,Banjarwaru
32.01.24.2008,Jawa Barat,Kabupaten Bogor,Ciawi,Bendungan
32.01.24.2009,Jawa Barat,Kabupaten Bogor,Ciawi,Pandansari
32.01.24.2010,Jawa Barat,Kabupaten Bogor,Ciawi,Bojongmurni
32.01.24.2011,Jawa Barat,Kabupaten Bogor,Ciawi,Banjarwangi
32.01.24.2012,Jawa Barat,Kabupaten Bogor,Ciawi,Ciawi
32.01.24.2013,Jawa Barat,Kabupaten Bogor,Ciawi,Bitungsari
32.01.25.1010,Jawa Barat,Kabupaten Bogor,Cisarua,Cisarua
32.01.25.2001,Jawa Barat,Kabupaten Bogor,Cisarua,Batulayang
32.01.25.2002,Jawa Barat,Kabupaten Bogor,Cisarua,Jogjogan
32.01.25.2003,Jawa Barat,Kabupaten Bogor,Cisarua,Cibeureum
32.01.25.2004,Jawa Barat,Kabupaten Bogor,Cisarua,Cilember
32.01.25.2005,Jawa Barat,Kabupaten Bogor,Cisarua,Citeko
32.01.25.2006,Jawa Barat,Kabupaten Bogor,Cisarua,Tugu Selatan
32.01.25.2007,Jawa Barat,Kabupaten Bogor,Cisarua,Leuwimalang
32.01.25.2008,Jawa Barat,Kabupaten Bogor,Cisarua,Kopo
32.01.25.2009,Jawa Barat,Kabupaten Bogor,Cisarua,Tugu Utara
32.01.26.2001,Jawa Barat,Kabupaten Bogor,Megamendung,Sukamaju
32.01.26.2002,Jawa Barat,Kabupaten Bogor,Megamendung,Kuta
32.01.26.2003,Jawa Barat,Kabupaten Bogor,Megamendung,Gadog
32.01.26.2004,Jawa Barat,Kabupaten Bogor,Megamendung,Sukakarya
32.01.26.2005,Jawa Barat,Kabupaten Bogor,Megamendung,Megamendung
32.01.26.2006,Jawa Barat,Kabupaten Bogor,Megamendung,Cipayung
32.01.26.2007,Jawa Barat,Kabupaten Bogor,Megamendung,Sukamanah
32.01.26.2008,Jawa Barat,Kabupaten Bogor,Megamendung,Sukagalih
32.01.26.2009,Jawa Barat,Kabupaten Bogor,Megamendung,Cipayung Girang
32.01.26.2010,Jawa Barat,Kabupaten Bogor,Megamendung,Sukamahi
32.01.26.2011,Jawa Barat,Kabupaten Bogor,Megamendung,Sukaresmi
32.01.26.2012,Jawa Barat,Kabupaten Bogor,Megamendung,Pasir Angin
32.01.27.2001,Jawa Barat,Kabupaten Bogor,Caringin,Pasirmuncang
32.01.27.2002,Jawa Barat,Kabupaten Bogor,Caringin,Cimande Hilir
32.01.27.2003,Jawa Barat,Kabupaten Bogor,Caringin,Ciderum
32.01.27.2004,Jawa Barat,Kabupaten Bogor,Caringin,Caringin
32.01.27.2005,Jawa Barat,Kabupaten Bogor,Caringin,Ciherang Pondok
32.01.27.2006,Jawa Barat,Kabupaten Bogor,Caringin,Cinagara
32.01.27.2007,Jawa Barat,Kabupaten Bogor,Caringin,Cimande
32.01.27.2008,Jawa Barat,Kabupaten Bogor,Caringin,Pancawati
32.01.27.2009,Jawa Barat,Kabupaten Bogor,Caringin,Muarajaya
32.01.27.2010,Jawa Barat,Kabupaten Bogor,Caringin,Pasirbuncir
32.01.27.2011,Jawa Barat,Kabupaten Bogor,Caringin,Lemah Duhur
32.01.27.2012,Jawa Barat,Kabupaten Bogor,Caringin,Tangkil
32.01.28.2001,Jawa Barat,Kabupaten Bogor,Cijeruk,Cijeruk
32.01.28.2002,Jawa Barat,Kabupaten Bogor,Cijeruk,Cipelang
32.01.28.2003,Jawa Barat,Kabupaten Bogor,Cijeruk,Warungmenteng
32.01.28.2004,Jawa Barat,Kabupaten Bogor,Cijeruk,Tajurhalang
32.01.28.2005,Jawa Barat,Kabupaten Bogor,Cijeruk,Cipicung
32.01.28.2006,Jawa Barat,Kabupaten Bogor,Cijeruk,Cibalung
32.01.28.2007,Jawa Barat,Kabupaten Bogor,Cijeruk,Sukaharja
32.01.28.2008,Jawa Barat,Kabupaten Bogor,Cijeruk,Palasari
32.01.28.2009,Jawa Barat,Kabupaten Bogor,Cijeruk,Tanjungsari
32.01.29.1003,Jawa Barat,Kabupaten Bogor,Ciomas,Padasuka
32.01.29.2001,Jawa Barat,Kabupaten Bogor,Ciomas,Mekarjaya
32.01.29.2002,Jawa Barat,Kabupaten Bogor,Ciomas,Sukaharja
32.01.29.2004,Jawa Barat,Kabupaten Bogor,Ciomas,Parakan
32.01.29.2005,Jawa Barat,Kabupaten Bogor,Ciomas,Ciomas
32.01.29.2006,Jawa Barat,Kabupaten Bogor,Ciomas,Pagelaran
32.01.29.2007,Jawa Barat,Kabupaten Bogor,Ciomas,Sukamakmur
32.01.29.2008,Jawa Barat,Kabupaten Bogor,Ciomas,Ciapus
